year,month,day,hour,minute,second,valve_open,temperature,soil_moisture,light_level,rain_detected,humidity
2025,8,25,15,42,29,0,26.10,0.40,30.58,0,44.00
2025,8,25,15,47,29,0,26.00,0.22,32.21,0,44.00
2025,8,25,15,52,29,0,26.00,0.33,32.06,0,45.00
2025,8,25,15,57,29,0,26.00,0.36,31.54,0,45.00
2025,8,25,16,2,29,0,26.10,0.43,31.54,0,45.00
2025,8,25,16,7,29,0,26.10,0.20,31.36,0,44.99
2025,8,25,16,12,29,0,26.10,0.47,30.96,0,45.00
2025,8,25,16,17,29,0,26.00,0.46,30.55,0,44.00
2025,8,25,16,22,29,0,25.90,0.43,30.38,0,44.00
2025,8,25,16,27,29,0,25.80,0.33,28.13,0,44.00
2025,8,25,16,32,29,0,25.70,0.38,26.64,0,44.00
2025,8,25,16,37,29,0,25.60,0.28,29.77,0,44.00
